這	这
戲	戏
謂	谓
課	课
郵	邮
榮	荣
擁	拥
獻	献
嘆	叹
陰	阴
橫	横	
簽	签
輪	轮
訓	训
圓	圆
釋	释
諸	诸
奪	夺
測	测
蓋	盖
閱	阅
購	购
縱	纵
掛	挂
擇	择	
譽	誉
檢	检
宮	宫
儀	仪
擺	摆
奧	奥
滅	灭
慮	虑
寬	宽
紹	绍
補	补
贊	赞
穩	稳
厲	厉	
屆	届
跡	迹
雞	鸡
憶	忆
誠	诚
減	减
針	针
競	竞
倫	伦
鋼	钢	
諾	诺
殘	残
災	灾
喬	乔
糧	粮
譯	译
謀	谋
礎	础
損	损
輛	辆
凈	净
蕩	荡
奮	奋
膽	胆
棄	弃
煩	烦
猶	犹
稅	税
鋒	锋
遙	遥
慣	惯
憑	凭
幣	币
啟	启
碼	码
窮	穷
頗	颇
傾	倾
韓	韩
貿	贸
飄	飘
側	侧	
賞	赏
純	纯
閉	闭
涼	凉	
掃	扫	
貼	贴
滾	滚
緣	缘
貝	贝	
潤	润
擴	扩
欄	栏
嚇	吓	
倆	俩	
藍	蓝
閑	闲
鏡	镜
騎	骑	
顏	颜
貧	贫
駐	驻
傑	杰
撲	扑
壯	壮
薩	萨
憂	忧
獄	狱
鳳	凤
觸	触
戀	恋
豈	岂
俠	侠
遲	迟	
輝	辉
縮	缩
蕭	萧
辭	辞
齡	龄
徑	径
賴	赖
憤	愤
詢	询
慘	惨
麥	麦
騰	腾	
烏	乌	
崗	岗	
鋪	铺	
擋	挡	
帳	帐
豬	猪
勸	劝
築	筑
擠	挤
潔	洁
鄭	郑
鳴	鸣
顆	颗
喪	丧	
爛	烂	
騙	骗
頁	页
屍	尸
療	疗
塵	尘
飲	饮	
賓	宾	
緒	绪
賊	贼
廢	废
詳	详
湯	汤	
徹	彻
轟	轰
憐	怜
鳥	鸟		
毀	毁
聰	聪
辯	辩
餓	饿
楓	枫
掙	挣	
彎	弯
蔣	蒋
違	违
虧	亏
丟	丢
繞	绕
暫	暂
遞	递
潛	潜
鴻	鸿
績	绩
塗	涂	
悶	闷	
勵	励
艦	舰
牽	牵
肅	肃
夾	夹	
瘋	疯
惱	恼
顫	颤	
艱	艰
蒼	苍
蓮	莲
鑽	钻	
峽	峡
遼	辽
凱	凯
貓	猫	
濤	涛
鍋	锅
罰	罚
濃	浓
鍵	键
脈	脉	
鎖	锁
鄰	邻
駕	驾
禍	祸
覽	览
銅	铜
檔	档	
拋	抛
驅	驱
窩	窝
褲	裤
闊	阔
瑪	玛
頻	频
禪	禅	
萊	莱
嘗	尝
盜	盗
籌	筹
淺	浅
厭	厌	
壽	寿
錦	锦
鑒	鉴
趨	趋
貫	贯
撥	拨
遜	逊
賠	赔
遷	迁
襲	袭
駛	驶
懼	惧
紐	纽
蹤	踪
叢	丛
銳	锐
濕	湿
睜	睁
溝	沟
貢	贡
渾	浑
贏	赢
馳	驰
恆	恒
賢	贤
飾	饰
償	偿
纏	缠
攝	摄
擬	拟
闖	闯
賀	贺
縫	缝	
飽	饱
撫	抚
冊	册	
煉	炼
憲	宪
廟	庙
誼	谊
儲	储
馮	冯
喚	唤
貪	贪
臥	卧
擾	扰
脅	胁
譜	谱
閣	阁
鵬	鹏
盧	卢
礙	碍
綜	综	
暈	晕	
攔	拦
霧	雾
恥	耻
攤	摊
誕	诞
懸	悬
湊	凑
籠	笼	
顛	颠
攜	携
擲	掷
糾	纠
穌	稣
噸	吨
蟲	虫
繩	绳
廚	厨
漲	涨	
皺	皱
賭	赌
饒	饶
礦	矿
暢	畅
噴	喷	
鏢	镖
撐	撑
爐	炉
偽	伪
諒	谅
釣	钓
腸	肠
剝	剥
賺	赚	
燭	烛
廈	厦	
邁	迈
齒	齿
謹	谨
彌	弥
誇	夸
債	债
剎	刹	
膚	肤
癥	症	
欽	钦
綿	绵	
誘	诱
晉	晋
悅	悦
艷	艳
貸	贷
頸	颈	
踐	践
賈	贾	
轎	轿
嬌	娇
瀟	潇
賜	赐
墳	坟
頌	颂
磚	砖
鶴	鹤
漁	渔
啞	哑	
餅	饼
犧	牺
灘	滩
釘	钉	
錫	锡
贈	赠
鈴	铃
頑	顽
鷹	鹰
軌	轨
喲	哟	
碩	硕
帥	帅
懶	懒
獸	兽
獵	猎
鹽	盐
飢	饥
邏	逻
驕	骄
販	贩
繪	绘
蠻	蛮
敘	叙
斬	斩
呂	吕
譚	谭
凍	冻
駱	骆
潑	泼
謙	谦
廁	厕	
嶺	岭
鮑	鲍
禿	秃
倉	仓
綁	绑
薦	荐
鴨	鸭
診	诊
紋	纹
龐	庞
騷	骚
嘩	哗	
畝	亩
謊	谎
籃	篮
擱	搁	
廂	厢
瞞	瞒
腫	肿
僑	侨
疊	叠
嘯	啸
脹	胀
賦	赋
懇	恳
嬰	婴
斃	毙
謎	谜	
瓊	琼
嗚	呜
竄	窜
頒	颁
頰	颊
囑	嘱
駁	驳
滬	沪
賤	贱
鉤	钩
豎	竖
懲	惩
繡	绣
訝	讶
綱	纲
濱	滨
艙	舱
娛	娱
鴉	鸦
獅	狮
凜	凛
龜	龟	
窯	窑
纖	纤	
寵	宠
鏈	链
壩	坝
狹	狭
銘	铭
淵	渊
襯	衬
緬	缅
摟	搂	
縛	缚
燦	灿
輿	舆
韻	韵
竊	窃
偵	侦
陝	陕
聳	耸
醬	酱
壺	壶
癢	痒
殼	壳	
貞	贞
蘆	芦	
輔	辅
賬	账
撿	捡
糞	粪
濫	滥
潰	溃	
隸	隶
曠	旷
繳	缴	
穎	颖
妝	妆
蠟	蜡
劑	剂
驟	骤
廬	庐
蘋	苹
曬	晒
攏	拢
朧	胧	
膠	胶
諷	讽
揀	拣
樁	桩
謠	谣
墜	坠
滯	滞
誦	诵
岡	冈
紗	纱
銜	衔
膩	腻
撈	捞
攪	搅
傘	伞
鑄	铸
軀	躯
燙	烫
漿	浆	
釀	酿
鵝	鹅
茲	兹	
搗	捣
棟	栋
纜	缆
爍	烁
詐	诈
紡	纺
錘	锤
兌	兑
辮	辫
墮	堕
覓	觅
諧	谐
綢	绸
澆	浇
淪	沦
縷	缕
蘿	萝
蔭	荫	
譏	讥
蔥	葱
鞏	巩
齋	斋
幟	帜
鉛	铅
賄	贿
絨	绒
侶	侣
鍛	锻
譴	谴
洶	汹
諱	讳
鑼	锣
勻	匀
綽	绰	
絞	绞
軸	轴	
壘	垒
蘊	蕴
傭	佣	
晝	昼
蝕	蚀
蝦	虾
謬	谬
紳	绅
鑲	镶
聾	聋
壟	垄
彥	彦
翹	翘
闡	阐
訟	讼
樞	枢
嶄	崭
瀉	泻
儉	俭
